pool	USDA1157	USDA1021	KH35C	HM006-1	1819	1790	1760	1751	1724	1464	1397	1456	1415	1533	1623	1919	1222	1519	1883	1561	1215	1200	1710	1793	1212	M162	1107	1248	1158	1614	T073	1180	1581	1027	1206	M270	1199	1031	1491	1195	3085	1742	1264	1496	1497	1808	1660	1211	1191	1530	1791	1659	1170	1550	1795	1594	1562	1580	1612	1616	1617	1666	KH46C	1777	1655	1688	1692	1719
C68_initial_1	0.0130611	0.0141367	0.0187823	0.0156498	0.0149439	0.0143904	0.018758	0.0184912	0.0140992	0.0136628	0.0137686	0.0131929	0.0185793	0.016349	0.00955477	0.0193574	0.0180576	0.011141	0.0104091	0.0146643	0.0140817	0.0137448	0.0149834	0.0097894	0.0171222	0.0125958	0.00894628	0.0199559	0.017809	0.0106013	0.0140015	0.0199669	0.0138247	0.0140263	0.0127623	0.0165752	0.0112766	0.0185355	0.016457	0.00985109	0.0182436	0.0123362	0.0140701	0.0154594	0.0134583	0.0107982	0.0143586	0.0114114	0.0159827	0.0201476	0.015285	0.0123242	0.01121	0.0183454	0.0181933	0.0174336	0.0189373	0.0134792	0.0121888	0.0157769	0.0174975	0.0138019	0.0127849	0.0128182	0.0193566	0.0150444	0.0127096	0.00859067
C68_initial_2	0.0130145	0.0148044	0.0175036	0.016075	0.0163521	0.0149423	0.017678	0.0179478	0.013666	0.0154701	0.0152344	0.0138315	0.015244	0.0168211	0.00998085	0.0200836	0.0180143	0.0113827	0.00945046	0.013878	0.0142045	0.0139937	0.0153796	0.0107775	0.0169952	0.0120009	0.00901962	0.0196375	0.0167275	0.0101185	0.0139136	0.0189379	0.0139962	0.0146882	0.0130095	0.0161483	0.0128669	0.0176395	0.0178495	0.0118328	0.0173113	0.0139721	0.0137219	0.0161019	0.013357	0.0105617	0.0146172	0.0122918	0.015626	0.0186484	0.014322	0.01357	0.0111588	0.0176061	0.0171603	0.0159492	0.0179806	0.0140633	0.0119237	0.0152463	0.0174002	0.0140161	0.0137724	0.0119465	0.0185962	0.0150142	0.0137867	0.00916676
C68_initial_5	0.0128986	0.0136039	0.0188982	0.0158642	0.0156977	0.0143928	0.019373	0.0193869	0.0133027	0.0138781	0.0144068	0.0140531	0.0176588	0.0175485	0.00911073	0.020388	0.0177391	0.0106351	0.00939906	0.014051	0.0141441	0.0140968	0.0158156	0.00968459	0.0174422	0.0118902	0.00952174	0.0219978	0.0178909	0.00987752	0.012178	0.021114	0.0134929	0.0136441	0.013098	0.0166578	0.0126034	0.0182682	0.0172372	0.00988741	0.0174329	0.0123692	0.0141255	0.015453	0.0132451	0.011717	0.0145858	0.0116812	0.0163971	0.0203221	0.015865	0.0107106	0.00806671	0.0187841	0.0186411	0.0165636	0.0192715	0.0124776	0.0122673	0.0159427	0.0188335	0.0137077	0.0135078	0.0119666	0.0193811	0.0145519	0.0113319	0.00797131
C68_initial_8	0.0144521	0.0141629	0.0176312	0.0148478	0.0159253	0.0148713	0.0184985	0.0186892	0.0135011	0.0152546	0.0146788	0.0141409	0.0149339	0.0168005	0.00957304	0.020653	0.0171445	0.0120637	0.00927331	0.0140368	0.0132525	0.0147274	0.0153681	0.0107089	0.016457	0.0117757	0.00907547	0.0193172	0.0170254	0.0107971	0.013575	0.0194744	0.014092	0.0145283	0.0140747	0.0158582	0.0131608	0.0177632	0.0194716	0.0112773	0.0175753	0.0139351	0.0133654	0.0170963	0.0133261	0.011572	0.0149435	0.0137955	0.0153166	0.0200229	0.0142481	0.0133865	0.00727113	0.0177736	0.0174038	0.01497	0.0184294	0.0139693	0.0117489	0.0152921	0.0186501	0.0137503	0.013757	0.0116461	0.0177645	0.0136094	0.0133297	0.00913832
CY_2.5m_12	0.00285975	0.0039468	0.0432541	0.00405197	0.00653769	0.00487523	0.00831176	0.00357671	0.0922055	0.0173228	0.0217719	0.0044045	0.015449	0.0189428	0.00628059	0.012066	0.0108684	0.00675303	0.0167282	0.00634201	0.01668	0.0194891	0.00365588	0.0102701	0.0267255	0.00154737	0.00456442	0.0307439	0.00475982	0.00444165	0.00740637	0.00586047	0.00311618	0.00476091	0.0140712	0.00478473	0.0252385	0.00349371	0.0111715	0.0159259	0.0161475	0.0189663	0.0145959	0.00525607	0.0229212	0.00561657	0.0252448	0.00305374	0.00853096	0.0097548	0.00969456	0.0367031	0.00721368	0.00594106	0.0477525	0.00214545	0.0108826	0.0124657	0.00578818	0.00740963	0.0141036	0.0217657	0.0148229	0.113034	0.0153573	0.00922373	0.00441702	0.00593516
CY_2.5m_13	0.00312531	0.00474044	0.0308843	0.00519277	0.0080032	0.00546849	0.00772025	0.00347542	0.0628078	0.0256486	0.0287916	0.00521043	0.0132436	0.0150212	0.00876158	0.0171806	0.0151736	0.00574282	0.0200958	0.00768564	0.018082	0.0282319	0.00381164	0.00740428	0.015331	0.00169991	0.00557102	0.0412615	0.00578757	0.006821	0.00715292	0.00675028	0.00382722	0.00547647	0.0177951	0.00497919	0.0224291	0.00411627	0.0141705	0.0205612	0.0190946	0.00888743	0.0171056	0.00598444	0.027592	0.00570578	0.0315524	0.00343089	0.0094875	0.00976637	0.00867702	0.0204683	0.0110848	0.00650957	0.0465692	0.00323132	0.0148085	0.0132689	0.00788446	0.0111008	0.0107843	0.0232608	0.0173592	0.0879098	0.0216809	0.0104277	0.00504139	0.0060926
CY_2.5m_14	0.00330163	0.00439673	0.0281824	0.00540107	0.00707449	0.00525667	0.0099234	0.00405779	0.0544078	0.0197918	0.0334891	0.00510762	0.0185231	0.0191317	0.00820038	0.0212077	0.0138726	0.0064063	0.0248873	0.00696441	0.0131793	0.0166806	0.00507349	0.0058565	0.0117112	0.0024989	0.00808099	0.0384176	0.00544378	0.00833764	0.00784348	0.00507355	0.00345012	0.00538583	0.0261453	0.00858031	0.01926	0.00398341	0.0157711	0.0199555	0.0155552	0.00920921	0.0143248	0.0057867	0.0245349	0.00582724	0.0282316	0.0035719	0.0138879	0.0104691	0.0103311	0.0309981	0.00782019	0.00777118	0.0633984	0.00355948	0.0207204	0.0143216	0.0108941	0.0144269	0.0126097	0.0227829	0.011443	0.0604874	0.023365	0.0121397	0.00678735	0.00443218
CY_2.5m_15	0.00346005	0.00430182	0.0278378	0.00499236	0.00816718	0.00562493	0.00867252	0.00411738	0.0462756	0.0219621	0.0296491	0.00516654	0.013418	0.016341	0.00950409	0.0190573	0.0175034	0.00743891	0.0178349	0.00778087	0.0213122	0.0240645	0.00453312	0.00838061	0.0196946	0.00204997	0.00546613	0.0384174	0.00619101	0.00763605	0.00799599	0.00606135	0.00366981	0.00527309	0.0181053	0.00620089	0.0272201	0.00437916	0.0145854	0.0232665	0.0171668	0.0115654	0.0176918	0.00618522	0.0252893	0.00579228	0.0347337	0.00400001	0.0106963	0.010676	0.00876714	0.0193822	0.0120603	0.00756681	0.0549854	0.00327724	0.0146829	0.0123957	0.00964323	0.0120264	0.0122238	0.0265951	0.0195252	0.0636833	0.0237606	0.0108315	0.00643877	0.00474876
CY_2wk_06	0.00361265	0.00476186	0.0317424	0.00572202	0.017186	0.00602863	0.00738991	0.00456108	0.0456663	0.0180751	0.0234657	0.00520272	0.0138461	0.0151841	0.0093831	0.0174603	0.0165274	0.00788634	0.0233048	0.0110503	0.0341088	0.0222452	0.00584462	0.0108983	0.0328757	0.0021315	0.0039181	0.0306601	0.00638669	0.00595491	0.00881851	0.00595139	0.00446738	0.00577103	0.0241374	0.00482427	0.0210207	0.00473124	0.0122283	0.0260463	0.0247086	0.0164832	0.0178766	0.00882153	0.0195622	0.0083939	0.0296534	0.0053065	0.00879113	0.011579	0.00908881	0.0178265	0.0128879	0.00768968	0.0394637	0.00251422	0.0109123	0.00936123	0.0100303	0.0117784	0.0146038	0.0248398	0.0206637	0.0538035	0.0183481	0.01198	0.00740551	0.00454898
